# featdisc games=200 players=2 seed=5001 weights=/tmp/fs_champ_2p_frozen.json decisions=58114 forced=2517 mean_candidates=11.899 max_candidates=43 successor_states=691487 elapsed_s=74.3
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
phi	Colonies	58114	0.990381	0.524521	9.619025e-3	1.000000e0	7.853407e-1	0.012248	1	1.0096	1
phi	HasColony	58114	0.993650	0.524521	6.349589e-3	1.000000e0	4.992890e-1	0.012717	1	1.0063	1
phi	Pacts	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	PactBlocksAttack	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	WarImmune	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	AttackCostDoubled	58114	0.986492	0.913997	1.350793e-2	1.000000e0	2.722997e-1	0.049607	1	1.0135	1
phi	AuctionCommitted	58114	0.979988	0.978542	1.435110e-2	1.000000e0	7.763708e-2	0.184849	1	1.0200	1
phi	AuctionBid	58114	0.979988	0.978542	9.517500e-2	2.200000e1	7.700897e-1	0.123590	1	1.0730	1
phi	TechLevels	58114	0.936005	0.195357	3.660489e-2	1.092105e0	7.806365e-1	0.046891	1	1.0648	1
phi	GovLevel	58114	0.990519	0.527893	1.688061e-2	3.000000e0	8.514041e-1	0.019827	1	1.0095	1
phi	BestFarm	58114	0.993633	0.644337	9.722270e-3	3.000000e0	7.162136e-1	0.013575	1	1.0064	1
phi	BestMine	58114	0.995474	0.736845	7.175552e-3	3.000000e0	6.550113e-1	0.010955	1	1.0045	1
phi	BestLab	58114	0.992171	0.653509	1.405857e-2	3.000000e0	7.791822e-1	0.018043	1	1.0078	1
phi	BestTemple	58114	0.988850	0.527962	1.715593e-2	2.000000e0	8.236677e-1	0.020829	1	1.0113	1
phi	BestTheater	58114	0.993840	0.710724	1.066869e-2	3.000000e0	7.546000e-1	0.014138	1	1.0062	1
phi	BestLibrary	58114	0.993668	0.604192	9.188836e-3	3.000000e0	6.682446e-1	0.013751	1	1.0063	1
phi	BestArena	58114	0.995423	0.789087	8.913515e-3	3.000000e0	7.257836e-1	0.012281	1	1.0046	1
phi	BestUnit	58114	0.998056	0.960216	4.473965e-3	3.000000e0	3.829252e-1	0.011684	1	1.0019	1
phi	NumTechs	58114	0.941821	0.000000	5.817875e-2	1.000000e0	2.273324e0	0.025592	1	1.0582	1
